fill_blank_input,masked_word,options
"Whenever you try to solve a problem—at school or elsewhere—you use what psychologists call your cognitive abilities. Cognitive abilities are things like memory (how well you can remember things from the past), vocabulary (how many words you know) and reasoning (how good you are at solving problems). -> Whenever you try to solve a problem—at school or elsewhere—you [MASK] what psychologists call your cognitive abilities.",use,"['skirt', 'contest', 'fish', 'use']"
"The Empire was divided into provinces, each with a governor plus civil and military support. Letters, both official and private, would constantly go to and from Rome.
 Trade was most important for Rome, a city of more than a million people, by far the largest city in the world. -> Letters, both [MASK] and private, would constantly go to and from Rome.
",official,"['prepared', 'official', 'second', 'sweet']"
"Our memories guide our present and future behaviors based on our past experiences. They define who we are and how we experience the world. During learning, in a process called memory allocation, a group of active neurons are selected to serve as the cells that ""hold"" a specific memory. -> They [MASK] who we are and how we experience the world.",define,"['bloom', 'define', 'needle', 'nurse']"
The Rosetta Stone is a stone with writing carved into it. French soldiers found it in Egypt in 1799. It helped people get a better understanding of the Ancient Egyptian writing system called hieroglyphics. -> French [MASK] found it in Egypt in 1799.,soldiers,"['soldiers', 'original', 'classified', 'allies']"
"We can make chemicals that produce any smell, taste, or color we want. Chemicals are what makes medicine help people, chemicals make our cars drive and our planes fly.
 Scientists called chemists make many new types of chemicals all the time. -> Chemicals are what [MASK] medicine help people, chemicals make our cars drive and our planes fly.
",makes,"['sit', 'makes', 'fog', 'belong']"
Rangers rescued her from the bush. Her mum was killed by poachers. The rangers took Afeefah to a place of safety. -> Her mum was killed by [MASK].,poachers,"['usefulness', 'arrest', 'poachers', 'opposite']"
"However, if we eat too much, the insulin machinery is overstrained and the extra sugar circulates in the bloodstream, leading to disease. If blood sugar levels are not controlled, you could set yourself up for a host of complications including damage of nearly every organ. Also, heart attacks, liver diseases, and many other health problems can result from diabetes. -> If blood sugar levels are not controlled, you could [MASK] yourself up for a host of complications including damage of nearly every organ.",set,"['set', 'concentrate', 'complement', 'tap']"
One thing that might affect indoor microbes is exposure to light. Light can cause chemical reactions within microbes that harm their DNA or the proteins they need to survive and function. -> One thing that might affect indoor microbes is exposure to [MASK].,light,"['juvenile', 'light', 'remedy', 'wet']"
"In the skin-prick test, the doctor or nurse puts tiny amounts of different allergens just under your skin. If you are allergic, you will develop a red bump where the allergen was placed. The doctor can tell how allergic you are by the size of the red bump. -> If you are allergic, you will develop a [MASK] bump where the allergen was placed.",red,"['red', 'clinical', 'separate', 'daily']"
"The ocean covers more than 72% of the Earth's surface and averages about 3,700 m in depth. How could we ever attempt to study such a large volume of water that contains so many different living things?
 Oceanographers (scientists who study the ocean) use a number of different tools to study the ocean, spanning from satellites, an object in space that rotates around the Earth and on which sensors can be attached to observe the Earth that can observe the ocean's surface daily, to research vessels (there are currently about 400 vessels operated by 50 different countries ), to robots, an object that has some control of its own motion and on which sensors can be attached, that sink and rise periodically and are equipped with sensors, an object with electronic components that records signals generated from the environment around it (there are about 5,000 robots in use now). -> How could we ever attempt to study such a large volume of water that contains so [MASK] different living things?
",many,"['many', 'aqueous', 'packed', 'autonomic']"
"SEM can achieve resolution better than 1 nanometer. Specimens can be observed in high vacuum, in low vacuum, in wet conditions (in environmental SEM), and at a wide range of cryogenic or elevated temperatures.
 The most common SEM mode is detection of secondary electrons emitted by atoms excited by the electron beam. -> Specimens can be [MASK] in high vacuum, in low vacuum, in wet conditions (in environmental SEM), and at a wide range of cryogenic or elevated temperatures.
",observed,"['kid', 'observed', 'voice', 'call']"
You can then start Hands-on CPR by pushing hard and fast in the centre of their chest. Do not practice this on a friend! You can find out more from the National Sea Rescue Institute. -> Do not practice this on a [MASK]!,friend,"['intent', 'proportion', 'lap', 'friend']"
"""Tell them to call the free emergency number, like the Sea Rescue lady told us."" 
 ""Help, help!"" shouted Lungi as he struggled to keep his head above the water. 
 ""Hold on, Lungi!"" -> ""Help, help!"" shouted Lungi as he [MASK] to keep his head above the water. 
",struggled,"['struggled', 'wake', 'stress', 'shallow']"
"""Look! The wave's going to hit us!"" shouts one of the fishermen. 
 -> The [MASK]'s going to hit us!""",wave,"['pitch', 'heating', 'wave', 'practice']"
"Sea level is generally used to refer to mean sea level (MSL), an average level for the surface of one or more of Earth's oceans from which heights such as elevations may be measured. MSL is a type of vertical datum – a standardized geodetic reference point – that is used, for example, as a chart datum in cartography and marine navigation, or, in aviation, as the standard sea level at which atmospheric pressure is measured in order to calibrate altitude and, consequently, aircraft flight levels. -> Sea level is generally used to refer to mean sea level (MSL), an average level for the surface of one or more of Earth's oceans from which heights [MASK] as elevations may be measured.",such,"['such', 'hypothalamic', 'frantic', 'defined']"
"Igneous rocks have a volcanic origin. Over a very long time, rocks get recycled, in two ways. When marine sediments are raised above sea level, they get weathered, and the pieces carried down to the sea. -> Over a very [MASK] time, rocks get recycled, in two ways.",long,"['impressed', 'long', 'integrated', 'precise']"
Wasps sting. They ruin your summer picnics. They nest in your house and make your parents angry. -> They [MASK] your summer picnics.,ruin,"['needle', 'ruin', 'finger', 'experiment']"
"In the historiography of some countries, the war is named after combatants in its respective theatres, e.g. the French and Indian War in the United States. In French-speaking Canada, it is known as the War of the Conquest, while it is called the Seven Years' War in English-speaking Canada (North America, 1754–1763), Pomeranian War (with Sweden and Prussia, 1757–1762), Third Carnatic War (on the Indian subcontinent, 1757–1763), and Third Silesian War (with Prussia and Austria, 1756–1763). -> In French-speaking Canada, it is known as the War of the Conquest, while it is called the Seven Years' War in English-speaking Canada (North America, 1754–1763), Pomeranian War (with Sweden and Prussia, 1757–1762), Third Carnatic War (on the [MASK] subcontinent, 1757–1763), and Third Silesian War (with Prussia and Austria, 1756–1763).",Indian,"['industrial', 'Indian', 'sovereign', 'ecumenical']"
"During the night, even the ocean surface is dark, except for the faint glow from the moonlight, so light is a great way for animals to communicate. But who are they communicating with and who else is seeing these signals? For marine species, emitting light or looking for light in the darkness helps them to find partners or even something to eat. -> But who are they communicating with and who else is seeing these [MASK]?",signals,"['origin', 'signals', 'double', 'trend']"
"It derives from the German term Seidenstraße (literally ""Silk Road"") and was first popularized by in 1877 by Ferdinand von Richthofen, who made seven expeditions to China from 1868 to 1872. However, the term itself has been in use in decades prior. The alternative translation ""Silk Route"" is also used occasionally. -> However, the term itself has been in use in [MASK] prior.",decades,"['strike', 'decades', 'station', 'distress']"
"An instructor, like a coach, leads the simulation and lets everyone know what they are doing well, and how they can improve. Training together during simulation is the best way to prepare for real-life neonatal resuscitation.
 It is important that doctors and nurses train often, so that they do not make mistakes. -> Training together during simulation is the best way to prepare for real-life neonatal [MASK].
",resuscitation,"['fashion', 'victory', 'resuscitation', 'way']"
"Some smartwatches function as portable media players, with FM radio and playback of digital audio and video files via a Bluetooth or USB headset. Some models, also called 'watch phones', feature full mobile phone capability, and can make or answer phone calls or text messages.
 While internal hardware varies, most have an electronic visual display, either backlit LCD or OLED. -> Some models, also called 'watch phones', [MASK] full mobile phone capability, and can make or answer phone calls or text messages.
",feature,"['blow', 'depend', 'reverse', 'feature']"
"Copper is poured on naked flame which burns off sulfur and other impurities, leaving raw copper. Electrolysis uses electric current to separate the copper in big pools, which contain water solution called electrolyte -> Electrolysis uses electric current to separate the copper in big pools, which contain [MASK] solution called electrolyte",water,"['sensitivity', 'frank', 'water', 'must']"
"Further, some forms of bacteria can be resistant to antibiotics, making it difficult to treat infected wounds. In this article, we discuss the stages of wound healing, explain how bacteria can delay this process, and describe simple steps that you can adopt to prevent wound infections. -> In this article, we discuss the stages of wound healing, explain how bacteria can delay this [MASK], and describe simple steps that you can adopt to prevent wound infections.",process,"['jump', 'friendly', 'cemetery', 'process']"
"The variety of stand-alone and built-in social networking services available online in the 2010s introduces challenges of definition, but there are some common features: (1) social networking services are Web 2.0 Internet-based applications, (2) user-generated content (UGC) such as text posts, digital photos and videos, is the lifeblood of SNS organisms, (3) users create service-specific user profiles for the site or ""app"" that are designed and maintained by the SNS organization, and (4) social networking services facilitate the development of online social networks by connecting a user's profile with those of other individuals and/or groups. Most social network services are web-based and provide means for users to interact over the Internet, such as by e-mail and instant messaging and online forums. -> Most social [MASK] services are web-based and provide means for users to interact over the Internet, such as by e-mail and instant messaging and online forums.",network,"['sex', 'crazy', 'heading', 'network']"
"It does not refer to everything everybody thinks or does, but only to those things that everybody acts upon – or refuses to do – quite reliably.
 Because it must keep even the poorest and weakest members of a society willing to help even the richest and strongest, a society is very concerned with its citizenship, rights, ethics and time limits. These are basic ways to achieve fairness. -> Because it must keep even the poorest and weakest members of a [MASK] willing to help even the richest and strongest, a [MASK] is very concerned with its citizenship, rights, ethics and time limits.",society,"['captain', 'society', 'logic', 'oil']"
"For instance, those who prosecuted and convicted Socrates have left no testament. Historians, therefore, face the challenge of reconciling the various evidence from the extant texts in order to attempt an accurate and consistent account of Socrates's life and work. The result of such an effort is not necessarily realistic, even if consistent. -> [MASK], therefore, face the challenge of reconciling the various evidence from the extant texts in order to attempt an accurate and consistent account of Socrates's life and work.",Historians,"['Historians', 'liberalism', 'seats', 'assessment']"
"Software is the instructions that the computer follows. Before compact discs (CDs) or Internet downloads, software came on various computer data storage media like paper punch cards, magnetic discs or magnetic tape. -> Before compact discs (CDs) or Internet downloads, software came on various computer data storage media like paper punch cards, [MASK] discs or [MASK] tape.",magnetic,"['pleased', 'magnetic', 'supported', 'approved']"
"SaaS has become a common delivery model for many business applications, including office and messaging software, payroll processing software, DBMS software, management software, CAD software, development software, gamification, virtualization, accounting, collaboration, customer relationship management (CRM), management information systems (MIS), enterprise resource planning (ERP), invoicing, human resource management (HRM), talent acquisition, content management (CM), antivirus software, and service desk management. SaaS has been incorporated into the strategy of nearly all leading enterprise software companies.
 According to a Gartner Group estimate, SaaS sales in 2010 reached $10 billion, and were projected to increase to $12.1bn in 2011, up 20.7% from 2010. -> SaaS has been [MASK] into the strategy of nearly all leading enterprise software companies.
",incorporated,"['nurse', 'bone', 'sit', 'incorporated']"
"Therefore, software development may include research, new development, prototyping, modification, reuse, re-engineering, maintenance, or any other activities that result in software products.
 Software can be developed for a variety of purposes, the three most common being to meet specific needs of a specific client/business (the case with custom software), to meet a perceived need of some set of potential users (the case with commercial and open source software), or for personal use (e.g. a scientist may write software to automate a mundane task). -> Software can be developed for a variety of purposes, the three most common being to meet specific needs of a specific client/business (the case with custom [MASK]), to meet a perceived need of some set of potential users (the case with commercial and open source [MASK]), or for personal use (e.g. a scientist may write [MASK] to automate a mundane task).",software,"['voltage', 'software', 'civilization', 'familiarity']"
"When the first digital computers appeared in the early 1940s, the instructions to make them operate were wired into the machine. Practitioners quickly realized that this design was not flexible and came up with the ""stored program architecture"" or von Neumann architecture. Thus the division between ""hardware"" and ""software"" began with abstraction being used to deal with the complexity of computing.
 -> Practitioners quickly realized that this design was not flexible and [MASK] up with the ""stored program architecture"" or von Neumann architecture.",came,"['came', 'humble', 'recover', 'snow']"
"Solar sail craft offer the possibility of low-cost operations combined with long operating lifetimes. Since they have few moving parts and use no propellant, they can potentially be used numerous times for delivery of payloads.
 Solar sails use a phenomenon that has a proven, measured effect on spacecraft. -> Since they have few moving parts and use no propellant, they can potentially be [MASK] numerous times for delivery of payloads.
",used,"['fly', 'net', 'used', 'widow']"
The Sun is a star. It contains 99.9 percent of the Solar System's mass. This means that it has strong gravity. -> It [MASK] 99.9 percent of the Solar System's mass.,contains,"['resort', 'contains', 'urge', 'adventure']"
"Its particles can escape the Sun's gravity because of their high energy, from the high temperature of the corona and magnetic, electrical and electromagnetic phenomena in it.
 The solar winds flow outward supersonically at varying speeds depending on their origin reaching up to around one million miles per hour to great distances, filling a region known as the heliosphere, an enormous bubble-like volume surrounded by the interstellar medium. Other related phenomena include the aurora (northern and southern lights), the plasma tails of comets that always point away from the Sun, and geomagnetic storms that can change the direction of magnetic field lines. -> The solar winds flow outward supersonically at varying speeds depending on their origin reaching up to around one million miles per hour to great distances, filling a [MASK] known as the heliosphere, an enormous bubble-like volume surrounded by the interstellar medium.",region,"['length', 'lie', 'damp', 'region']"
"The solubility of a substance fundamentally depends on the physical and chemical properties of the solute and solvent as well as on temperature, pressure and the pH of the solution. The extent of the solubility of a substance in a specific solvent is measured as the saturation concentration, where adding more solute does not increase the concentration of the solution and begins to precipitate the excess amount of solute. The solubility of a substance is an entirely different property from the rate of solution, which is how fast it dissolves.
 -> The extent of the solubility of a substance in a specific solvent is measured as the [MASK] concentration, where adding more solute does not increase the concentration of the solution and begins to precipitate the excess amount of solute.",saturation,"['saturation', 'toast', 'family', 'possession']"
"It was a union of fourteen Soviet Socialist Republics and one Soviet Federated Socialist Republic (Russia).
 The Soviet Union was created after Vladimir Lenin led the overthrow of Alexander Kerensky. The communist government developed industry and over time became a major, powerful union. -> The Soviet Union was created after Vladimir Lenin led the [MASK] of Alexander Kerensky.",overthrow,"['overthrow', 'pool', 'quality', 'rush']"
"They usually tell imaginary stories that take place in the future, on other planets. It would be impossible to actually make a science fiction movie on another planet. For this reason, filmmakers use special effects to create images that look like other planets. -> It would be impossible to actually make a [MASK] fiction movie on another planet.",science,"['stairs', 'science', 'tea', 'performing']"
"However, giving a simple definition of 'species' is rather difficult, and many people have tried.
 Species is a word for a special kind of living thing, like a crow. r such as the songbirds, (which has many families in it, such as the crow, thrush and swallow families). -> Species is a [MASK] for a special kind of living thing, like a crow.",word,"['four', 'nature', 'willing', 'word']"
"The term voice recognition or speaker identification refers to identifying the speaker, rather than what they are saying. Recognizing the speaker can simplify the task of translating speech in systems that have been trained on a specific person's voice or it can be used to authenticate or verify the identity of a speaker as part of a security process.
 From the technology perspective, speech recognition has a long history with several waves of major innovations. -> Recognizing the speaker can simplify the [MASK] of translating speech in systems that have been trained on a specific person's voice or it can be used to authenticate or verify the identity of a speaker as part of a security process.
",task,"['teaching', 'task', 'doubt', 'gyro']"
"According to special relativity, c is the maximum speed at which all energy, matter, and physical information in the universe can travel. It is the speed of all massless particles such as photons, and associated fields—including electromagnetic radiation such as light—in a vacuum.
 It is predicted by the current theory to be the speed of gravity (that is, gravitational waves). -> It is the [MASK] of all massless particles such as photons, and associated fields—including electromagnetic radiation such as light—in a vacuum.
",speed,"['speed', 'peoples', 'current', 'thermal']"
"In common everyday speech, speed of sound refers to the speed of sound waves in air. However, the speed of sound varies from substance to substance: sound travels most slowly in gases; it travels faster in liquids; and faster still in solids. For example (as noted above), sound travels at 343.2 m/s in air; it travels at 1,484 m/s in water (4.3 times as fast as in air); and at 5,120 m/s in iron. -> However, the speed of [MASK] varies from substance to substance: [MASK] travels most slowly in gases; it travels faster in liquids; and faster still in solids.",sound,"['sound', 'well', 'stiff', 'pilot']"
This is a process that turns a light chemical element into another heavier element. Stars are mostly made of hydrogen and helium. They turn the hydrogen into helium by fusion. -> [MASK] are mostly made of hydrogen and helium.,Stars,"['Stars', 'suspicion', 'things', 'middle']"
"The steam pushes on the engine parts to make them move. Steam engines can power many kinds of machines including vehicles and electric generators.
 Steam engines were used in mine pumps starting in the early 18th century and were much improved by James Watt in the 1770s. -> Steam engines can power [MASK] kinds of machines including vehicles and electric generators.
",many,"['half', 'valid', 'many', 'bass']"
"In the 1850s and 1860s, the Bessemer process and the Siemens-Martin process turned steelmaking into a heavy industry. Today there are two major commercial processes for making steel, namely basic oxygen steelmaking, which has liquid pig-iron from the blast furnace and scrap steel as the main feed materials, and electric arc furnace (EAF) steelmaking, which uses scrap steel or direct reduced iron (DRI) as the main feed materials. -> Today there are two major commercial processes for making steel, namely basic oxygen steelmaking, which has liquid pig-iron from the [MASK] furnace and scrap steel as the main feed materials, and electric arc furnace (EAF) steelmaking, which uses scrap steel or direct reduced iron (DRI) as the main feed materials.",blast,"['reach', 'blast', 'vertical', 'elderly']"
"Long-term memory stores the information we are not currently using, kind of like a library full of books that hold the stories of our lives. Another type of memory, working memory, does not last very long and cannot hold much information. Working memory is the one we use for completing tasks and getting information into and out of long-term memory. -> Another type of [MASK], working [MASK], does not last very long and cannot hold much information.",memory,"['failure', 'love', 'refund', 'memory']"
"They used big data sets from other studies, which they combined using a statistical method called a metanalysis. The scientists found that foods that were good for our health, like vegetables, fruits, whole grains, nuts, and legumes, were also good for the health of our planet. That is, these foods had a low environmental impact on things like greenhouse gas emissions, land use, water use, and two types of nutrient pollution. -> The scientists found that foods that were good for our health, like vegetables, fruits, [MASK] grains, nuts, and legumes, were also good for the health of our planet.",whole,"['whole', 'dead', 'useful', 'increased']"
"They also killed animals for food and clothing.
 The time after the Stone Age is the Bronze Age, named after the metal bronze. The Stone Age ended when people discovered the art of smelting (making metals). -> The time after the Stone Age is the Bronze Age, named after the [MASK] bronze.",metal,"['imaginary', 'neck', 'metal', 'station']"
"Many storm drainage systems are designed to drain the storm water, untreated, into rivers or streams. As a result, it is not acceptable to pour certain types of chemicals into the drains.
 Some storm drains lead to a mixing of stormwater (rainwater) with sewage, either intentionally – in the case of combined sewers – or unintentionally. -> As a result, it is not acceptable to pour [MASK] types of chemicals into the drains.
",certain,"['planted', 'certain', 'ninety', 'observing']"
"Normally they only live for a few million years.
 During the explosion, the total energy radiated by supernovae may briefly outshine the entire output of a galaxy. They emit energy equal to that of the whole lifetime of a solar-like star. -> During the explosion, the total energy radiated by supernovae may briefly [MASK] the entire output of a galaxy.",outshine,"['charcoal', 'outshine', 'rebel', 'will']"
"The technique enhances the perception of sound spatialization by exploiting sound localization; a listener's ability to identify the location or origin of a detected sound in direction and distance. Typically this is achieved by using multiple discrete audio channels routed to an array of loudspeakers.
 There are various surround sound based formats and techniques, varying in reproduction and recording methods along with the number and positioning of additional channels. -> Typically this is [MASK] by using multiple discrete audio channels routed to an array of loudspeakers.
",achieved,"['price', 'vote', 'culture', 'achieved']"
"In psychology, we have found that people who experience such advantages from their social groups are healthier and experience less stress.
 However, it is not the support of just anyone that can have a positive effect on your health. The health benefits of social support depend on your social identity. -> However, it is not the support of just anyone that can have a positive effect on your [MASK].",health,"['fog', 'health', 'invasion', 'appreciation']"
"Sweat can be made in response to nerve stimulation, hot air temperature, and/or exercise. First, let's concentrate on how sweat is made in an eccrine sweat gland.
 When the sweat gland is stimulated, the cells secrete a fluid (primary secretion) that is similar to plasma -- that is, it is mostly water and it has high concentrations of sodium and chloride and a low concentration of potassium -- but without the proteins and fatty acids that are normally found in plasma. -> First, let's [MASK] on how sweat is made in an eccrine sweat gland.
",concentrate,"['concentrate', 'curb', 'gown', 'grin']"
"The technological singularity is the idea that a machine or computer, or a group of machines and computers, will one day be smarter than humans.
 Because it has not happened yet, nobody really knows what the technological singularity will do, or if it will even happen. -> The [MASK] singularity is the idea that a machine or computer, or a group of machines and computers, will one day be smarter than humans.
",technological,"['attendant', 'technological', 'low', 'cylindrical']"
"It emphasizes on the fact that technologies, in their early stage, are unpredictable with regards to their implications and rather tough to regulate or control once it has been widely accepted by the society. Shaping or directing this technology is the desired direction becomes difficult for the authorities at this period of time. -> Shaping or directing this [MASK] is the desired direction becomes difficult for the authorities at this period of time.",technology,"['instant', 'technology', 'winter', 'spectrum']"
"Homing pigeons have occasionally been used throughout history by different cultures. Pigeon post had Persian roots, and was later used by the Romans to aid their military. -> [MASK] pigeons have occasionally been used throughout history by different cultures.",Homing,"['require', 'bring', 'fee', 'Homing']"
Video game consoles connect to most modern TVs. Some computers can also use a TV as a computer monitor. -> Some [MASK]s can also use a TV as a [MASK] monitor.,computer,"['statue', 'computer', 'onion', 'lead']"
"Temperature-programmed reduction (TPR) is a technique for the characterization of solid materials and is often used in the field of heterogeneous catalysis to find the most efficient reduction conditions, an oxidized catalyst precursor is submitted to a programmed temperature rise while a reducing gas mixture is flowed over it. It was developed by John Ward Jenkins whilst developing heterogeneous catalysts for Shell Oil company, but was never patented. -> Temperature-programmed reduction (TPR) is a technique for the characterization of [MASK] materials and is often used in the field of heterogeneous catalysis to find the most efficient reduction conditions, an oxidized catalyst precursor is submitted to a programmed temperature rise while a reducing gas mixture is flowed over it.",solid,"['wide', 'affected', 'solid', 'hardened']"
"The reason that many medicines are not registered is because customizing the registration to meet the strict requirements of every country can be a hard task for a company, especially since the criteria may vary from one country to another. Furthermore, the registration process can take a long time in some countries with poor healthcare systems. While registration in some countries can take a few months, in others it can take many years! -> Furthermore, the [MASK] process can take a long time in some countries with poor healthcare systems.",registration,"['perspective', 'spell', 'registration', 'partial']"
"""
Jewish historians and scholars offer many different theories on the origin of the ceremony. However, the ceremony rose in importance throughout the Jewish diaspora during the 18th and 19th centuries.
 While the Jewish faith has many different sects, boys usually become a bar mitzvah at the age of 13, and girls typically become a bat mitzvah at the age of 12 or 13, depending on the sect. -> However, the ceremony rose in importance throughout the Jewish diaspora during the 18th and [MASK] centuries.
",19th,"['infectious', 'rich', '19th', 'played']"
"A new Atomic Era subgenre of giant mutant creature attacks was born. Primarily told on film, these stories helped navigate the anxiety that at any moment some unstoppable force could end the world. This trope can still be seen today in the Cloverfield series and modern remakes of Godzilla. -> Primarily told on film, these stories helped navigate the anxiety that at any [MASK] some unstoppable force could end the world.",moment,"['moment', 'road', 'heap', 'psychology']"
"Some shorelines experience a semi-diurnal tide - two nearly equal high and low tides each day. Other locations experience a diurnal tide - only one high and low tide each day. A ""mixed tide""; two uneven tides a day, or one high and one low, is also possible.
 -> Other locations experience a [MASK] tide - only one high and low tide each day.",diurnal,"['memorable', 'some', 'bad', 'diurnal']"
"Animal tissues are grouped into four basic types: connective, muscle, nervous, and epithelial. Collections of tissues joined in units to serve a common function compose organs. -> Animal tissues are grouped into four basic [MASK]: connective, muscle, nervous, and epithelial.",types,"['edge', 'park', 'types', 'entry']"
"A distinction between frogs and toads is not made in scientific taxonomy, but is common in popular culture (folk taxonomy), in which toads are associated with drier skin and more terrestrial habitats than animals commonly called frogs. In scientific taxonomy, toads are found in the families Bufonidae, Bombinatoridae, Discoglossidae, Pelobatidae, Rhinophrynidae, Scaphiopodidae, and Microhylidae. There is no definitive collective noun for toads, and like most collective nouns, the listed proposals are fanciful; one example is a knot of toads; others include a lump, nest, or knob of toads.
 -> In scientific taxonomy, toads are [MASK] in the families Bufonidae, Bombinatoridae, Discoglossidae, Pelobatidae, Rhinophrynidae, Scaphiopodidae, and Microhylidae.",found,"['found', 'crop', 'respect', 'mail']"
"Totalitarianism is a political system where the state recognizes no limits to its authority and strives to regulate every aspect of public and private life wherever feasible. Totalitarian regimes stay in political power through an all-encompassing propaganda campaign, which is disseminated through the state-controlled mass media, a single party that is often marked by political repression, personality cultism, control over the economy, regulation and restriction of speech, mass surveillance, and widespread use of terror. A distinctive feature of totalitarian governments is an ""elaborate ideology, a set of ideas that gives meaning and direction to the whole society. -> Totalitarian regimes stay in political power through an all-encompassing propaganda campaign, which is disseminated through the state-controlled mass media, a single party that is often marked by political repression, personality cultism, control over the economy, [MASK] and restriction of speech, mass surveillance, and widespread use of terror.",regulation,"['cook', 'regulation', 'flood', 'horn']"
"Some touchscreens use ordinary or specially coated gloves to work while others use a special stylus/pen only. The user can use the touchscreen to react to what is displayed and to control how it is displayed; for example, zooming to increase the text size.
 The touchscreen enables the user to interact directly with what is displayed, rather than using a mouse, touchpad, or any other intermediate device (other than a stylus, which is optional for most modern touchscreens).
 -> The [MASK]r can [MASK] the touchscreen to react to what is displayed and to control how it is displayed; for example, zooming to increase the text size.
",use,"['use', 'nose', 'prime', 'fence']"
"When the source (or emitter) is connected to the negative terminal of the battery, and the drain (or collector) to the positive terminal, no electricity will flow in the circuit (if you have only a lamp in series with the transistor). But when you touch the gate and the drain together, the transistor will let electricity through. This is because when the gate is positively charged, the positive electrons will push other positive electrons in the transistor letting the negative electrons flow through. -> But when you touch the gate and the drain together, the transistor will let [MASK] through.",electricity,"['electricity', 'bench', 'calendar', 'manufacturer']"
"The Treaty of Ghent (8 Stat. 218), signed on December 24, 1814, in the city of Ghent, was the peace treaty that ended the War of 1812 between the United States and the United Kingdom. The treaty restored relations between the two nations to status quo ante bellum, restoring the borders of the two countries to the lines before the war started in June 1812. -> The Treaty of Ghent (8 Stat. 218), signed on December 24, 1814, in the city of Ghent, was the [MASK] treaty that ended the War of 1812 between the United States and the United Kingdom.",peace,"['gin', 'peace', 'comparison', 'sitter']"
"Thus, Germany had to reduce its armed forces from 6 million to 100,000 men, and get rid of its submarines, military aircraft and most of their artillery, such as cannons. Their Navy battleships were limited to only six small ones. Germany also had to give back French territories it had occupied, as well as large territories of its own to Poland, for instance, and all of its colonies. -> Their Navy battleships were limited to only six small [MASK].",ones,"['cockpit', 'gain', 'contest', 'ones']"
"They had invited almost all the gods to their wedding. But they did not invite Eris, goddess of strife. She was angry and she threw a golden apple among the guests on which was written ""To the Fairest"". -> But they did not invite Eris, goddess of [MASK].",strife,"['strife', 'popularity', 'average', 'pill']"
"It dealt with Washington's concern over communism's domino effect, it enabled a media-sensitive presentation of the doctrine that won bipartisan support, and it mobilized American economic power to modernize and stabilize unstable regions without direct military intervention. It brought nation-building activities and modernization programs to the forefront of foreign policy. -> It brought nation-[MASK] activities and modernization programs to the forefront of foreign policy.",building,"['shaking', 'horse', 'building', 'binding']"
"Industrially, ultrasound is used for cleaning, mixing, and to accelerate chemical processes. Animals such as bats and porpoises use ultrasound for locating prey and obstacles. Scientist are also studying ultrasound using graphene diaphragms as a method of communication. -> Animals such as bats and porpoises use ultrasound for locating prey and [MASK].",obstacles,"['decade', 'leveling', 'pro', 'obstacles']"
"Suntan, freckling and sunburn are familiar effects of over-exposure, along with higher risk of skin cancer. Living things on dry land would be severely damaged by ultraviolet radiation from the Sun if most of it were not filtered out by the Earth's atmosphere. More-energetic, shorter-wavelength ""extreme"" UV below 121 -> Living things on dry land would be severely damaged by ultraviolet radiation from the Sun if most of it were not filtered out by the Earth's [MASK].",atmosphere,"['atmosphere', 'hero', 'harm', 'dice']"
"A Second World War soon started.
 The Allies of World War II often called themselves ""the United Nations"" (united against the Axis Powers). After the War, the winners formed a new organization for world peace. -> The Allies of World War II often [MASK] themselves ""the United Nations"" (united against the Axis Powers).",called,"['crown', 'well', 'patch', 'called']"
"""Hot swapping"" means it can be plugged and unplugged while the power is on. The computer does not need to be turned off for people to change the devices. -> The computer does not need to be turned off for people to change the [MASK].",devices,"['attendant', 'devices', 'scale', 'preventive']"
"This results in irregularities and ambiguities that make it difficult to understand using traditional programs as compared to data stored in fielded form in databases or annotated (semantically tagged) in documents.
 In 1998, Merrill Lynch cited a rule of thumb that somewhere around 80-90% of all potentially usable business information may originate in unstructured form. This rule of thumb is not based on primary or any quantitative research, but nonetheless is accepted by some.
 -> In 1998, Merrill Lynch cited a rule of thumb that somewhere around 80-90% of all potentially usable business information may [MASK] in unstructured form.",originate,"['table', 'ballot', 'establish', 'originate']"
"The title of the act originally was a ten-letter backronym (USA FREEDOM) that stood for ""Uniting and Strengthening America by Fulfilling Rights and Ending Eavesdropping, Dragnet-collection and Online Monitoring Act."".
 The bill was originally introduced in both houses of the U.S. Congress on October 29, 2013, following publication of classified NSA memos describing bulk data collection programs leaked by Edward Snowden that June. When it was re-introduced in the 114th Congress (2015-2016), it was described by the bill sponsors as ""a balanced approach"" -> The bill was originally introduced in both houses of the U.S. Congress on October 29, 2013, following publication of classified NSA memos describing [MASK] data collection programs leaked by Edward Snowden that June.",bulk,"['cross', 'maximum', 'bulk', 'solar']"
What about the wind? How cold will it be? Those are all questions we want to know. -> How [MASK] will it be?,cold,"['clean', 'cold', 'nominal', 'meaningless']"
"During winter in the Northern Hemisphere, light from the Sun is spread out over a larger area. This indirect light is the same amount of light energy spread over a larger area on the Earth's surface. -> During [MASK] in the Northern Hemisphere, light from the Sun is spread out over a larger area.",winter,"['dust', 'winter', 'commander', 'inventory']"
